data;código do campo;campo;preco
45658;823;Abalone;1,26644
45658;783;Acajá-Burizinho;1,75377
45658;563;Acauã;1,15914
45658;5;Água Grande;1,09141
45658;4821;Águia Real;3,8531
45658;7;Aguilhada;1,48713
45658;3;Albacora;1,09634
45658;4;Albacora Leste;1,08449
45658;15;Alto do Rodrigues;0,71392
45658;523;Anambé;1,08908
45658;4824;ANC_Mero;1,27131
45658;4755;AnC_NORTE_ATAPU;1,15713
45658;4749;Anc_Tupi;1,52188
45658;1726;Andorinha;3,8531
45658;9;Angelim;2,41949
45658;10;Angico;3,8531
45658;12;Apraiús;2,03139
45658;14;Arabaiana;1,63741
45658;1505;Araçari;2,55034
45658;13;Araçás;1,77773
45658;4708;Araçás Leste;1,75799
45658;4546;Arapaçu;1,08908
45658;4025;Arara Azul;1,18418
45658;662;Araracanga;1,18418
45658;1;Aratu;1,02274
45658;686;Argonauta;1,06734
45658;724;Arribaçã;2,32319
45658;16;Aruari;3,8531
45658;19;Asa Branca;1,73081
45658;21;Atalaia Sul;1,03164
45658;4652;Atapu;1,15713
45658;4845;Atapu_ECO;1,15713
45658;678;Atlanta;0,884
45658;258;Azulão;1,13697
45658;4886;Azulão Oeste;1,07586
45658;28;Badejo;1,57736
45658;24;Baixa do Algodão;1,05571
45658;464;Baleia Anã;0,913
45658;4690;Barra Bonita;0,98542
45658;42;Barracuda;1,77664
45658;25;Barrinha;3,8531
45658;1625;Barrinha Leste;3,8531
45658;3825;Barrinha Sudoeste;3,8531
45658;2625;Baúna;2,33501
45658;3245;Bem-Te-Vi;3,8531
45658;30;Benfica;1,74725
45658;2645;Berbigão;1,65577
45658;33;Bicudo;1,25651
45658;26;Biriba;1,21665
45658;29;Boa Esperança;1,73081
45658;1605;Bom Lugar;1,55103
45658;39;Bonito;1,43585
45658;44;Bonsucesso;1,96181
45658;41;Brejinho RN;1,22121
45658;43;Brejo Grande;1,24047
45658;23;Buracica;2,17272
45658;4598;Búzios;1,53427
45658;4827;Búzios_ECO;1,53427
45658;4700;Caburé;1,28704
45658;4706;Caburé Leste;1,28704
45658;51;Cachoeirinha;1,69278
45658;50;Cacimbas;1,04209
45658;4802;Camaçari;3,8531
45658;1184;Camarupim;1,26662
45658;2585;Camarupim Norte;1,26662
45658;62;Campo Grande;1,41089
45658;55;Canabrava;1,22937
45658;669;Canapu;1,53227
45658;666;Canário;1,74107
45658;1043;Cancã;0,91141
45658;46;Candeias;1,32532
45658;53;Cangoá;1,0467
45658;63;Cantagalo;1,34176
45658;52;Canto do Amaro;1,74725
45658;78;Carapeba;2,51071
45658;2325;Carapitanga;1,23076
45658;80;Caratinga;1,80072
45658;1725;Cardeal;3,8531
45658;4664;Cardeal Amarelo;1,24471
45658;4665;Cardeal do Nordeste;1,27282
45658;74;Carmópolis;1,46399
45658;82;Cassarongongo;1,15898
45658;67;Castanhal;2,33649
45658;1164;Caxareu;1,45669
45658;88;Cexis;1,33576
45658;1404;Cidade de Aracaju;3,8531
45658;66;Cioba;1,10074
45658;923;Colibri;3,8531
45658;72;Conceição;1,22043
45658;3605;Concriz;3,8531
45658;83;Coqueiro Seco;0,91933
45658;58;Córrego Dourado;1,12193
45658;2005;Crejoá;3,8531
45658;91;Dom João;2,24445
45658;95;Enchova;1,09337
45658;96;Enchova Oeste;1,39442
45658;98;Espadarte;1,82206
45658;4879;Espadim;1,82822
45658;99;Estreito;3,8531
45658;101;Fazenda Alegre;0,90676
45658;103;Fazenda Alvorada;1,97816
45658;100;Fazenda Azevedo;1,74023
45658;106;Fazenda Bálsamo;1,99003
45658;105;Fazenda Belém BA;1,22013
45658;131;Fazenda Belém CE;3,8531
45658;104;Fazenda Boa Esperança;1,93608
45658;110;Fazenda Canaan;3,8531
45658;107;Fazenda Cedro;1,42745
45658;108;Fazenda Curral;1,69278
45658;112;Fazenda Guindaste;1,51074
45658;113;Fazenda Imbé;1,77702
45658;115;Fazenda Malaquias;1,05571
45658;116;Fazenda Matinha;1,22043
45658;117;Fazenda Onça;2,10664
45658;118;Fazenda Panelas;1,5576
45658;119;Fazenda Pocinho;0,94815
45658;123;Fazenda Rio Branco;3,8531
45658;127;Fazenda Santa Luzia;1,19245
45658;129;Fazenda Santa Rosa;1,22043
45658;125;Fazenda Santo Estevão;3,8531
45658;126;Fazenda São Jorge;1,15896
45658;128;Fazenda São Rafael;1,47115
45658;1224;Foz do Vaza-Barris;3,8531
45658;122;Frade;1,06469
45658;130;Furado;1,08908
45658;4085;Galo de Campina;1,57734
45658;4528;Gavião Azul;0,97139
45658;4822;Gavião Belo;1,18972
45658;4558;Gavião Branco;0,99052
45658;4617;Gavião Branco Norte;1,10514
45658;4608;Gavião Caboclo;1,03745
45658;4629;Gavião Carijó;1,08039
45658;4859;Gavião Mateiro;0,96562
45658;4627;Gavião Preto;1,06644
45658;4529;Gavião Real;1,01603
45658;4630;Gavião Tesoura;1,11716
45658;4861;Gavião Vaqueiro;1,13567
45658;4666;Gavião Vermelho;0,96948
45658;383;Golfinho;1,09557
45658;135;Gomo;1,00507
45658;134;Guamaré;3,8531
45658;1283;Guanambi;1,83383
45658;2405;Harpia;3,8531
45658;142;Icapuí;3,8531
45658;141;Ilha de Bimbarra;1,27687
45658;144;Ilha Pequena;3,19269
45658;875;Inhambu;0,89616
45658;4691;Iraí;0,70168
45658;4841;Irara;3,8531
45658;4713;Iraúna;1,73511
45658;1103;Irerê;3,8531
45658;4711;Itaparica;1,08766
45658;4615;Itapu;1,84931
45658;4828;Itapu_ECO;1,84931
45658;1123;Jaçanã;1,57936
45658;147;Jacuípe;1,15974
45658;743;Jacutinga;3,8531
45658;150;Janduí;1,14031
45658;148;Jequiá;2,24904
45658;2285;Jiribatuba;1,40214
45658;702;João de Barro;2,13853
45658;153;Juazeiro;1,30252
45658;152;Jubarte;1,54277
45658;983;Juriti;3,70426
45658;154;Lagoa Aroeira;3,8531
45658;162;Lagoa do Paulo;2,03794
45658;483;Lagoa do Paulo Norte;2,03711
45658;673;Lagoa do Paulo Sul;0,95132
45658;161;Lagoa Parda;1,53827
45658;165;Lagoa Parda Norte;1,05402
45658;168;Lagoa Suruaca;1,48676
45658;159;Lamarão;1,36002
45658;1746;Lapa;1,03542
45658;157;Leodório;1,84792
45658;167;Leste de Poço Xavier;1,73081
45658;169;Leste do Urucu;1,11176
45658;158;Linguado;1,33419
45658;171;Livramento;1,69278
45658;160;Lorena;1,52763
45658;4552;Maçarico;1,15914
45658;174;Macau;1,98385
45658;4702;Mãe-da-Lua;1,91833
45658;185;Malombê;1,72156
45658;190;Manati;0,95607
45658;178;Mandacaru;1,7426
45658;4876;Manjuba;1,6578
45658;172;Marimbá;1,86322
45658;196;Marlim;1,60483
45658;187;Marlim Leste;1,53608
45658;188;Marlim Sul;1,74251
45658;195;Massapê;1,34147
45658;197;Massuí;1,38796
45658;184;Mata de São João;1,83693
45658;181;Mato Grosso;1,2206
45658;4684;Mero;1,27131
45658;381;Mexilhão;1,08604
45658;180;Miranga;1,40959
45658;183;Miranga Norte;1,42295
45658;175;Monte Alegre;0,86029
45658;192;Mossoró;3,8531
45658;4852;Muriqui;3,8531
45658;4718;Murucututu;1,39298
45658;4740;Nordeste de Sapinhoá;1,70109
45658;4741;Noroeste de Sapinhoá;1,70109
45658;4654;Norte de Berbigão;1,38553
45658;202;Norte de Fazenda Caruaçu;1,30796
45658;4658;Norte de Sururu;1,38553
45658;4647;Oeste de Atapu;1,15713
45658;206;Oeste de Ubarana;1,10074
45658;657;Ostra;1,33842
45658;4696;PA-1GALP42RN_POT-T-743;0,88355
45658;217;Pajeú;1,05571
45658;219;Pampo;1,52047
45658;705;Papa-Terra;1,2253
45658;4689;Paramirim do Vencimento;3,8531
45658;1645;Pardal;1,52763
45658;215;Pargo;1,86674
45658;208;Paru;1,08908
45658;3885;Patativa;1,73081
45658;4593;Paturi;1,15914
45658;221;Pedra Sentada;2,07591
45658;212;Pedrinhas;1,7948
45658;695;Peregrino;1,81516
45658;1144;Periquito;0,95815
45658;4742;Periquito Nordeste;0,983
45658;4720;Periquito Norte;1,05606
45658;214;Peroá;1,04183
45658;213;Pescada;1,63741
45658;4805;Piaçabuçu;3,8531
45658;216;Pilar;1,08368
45658;658;Pintassilgo;3,8531
45658;222;Piraúna;1,85527
45658;4579;Pitangola;1,81516
45658;223;Poço Verde;3,8531
45658;583;Polvo;2,46319
45658;220;Ponta do Mel;2,11208
45658;210;Porto Carão;3,8531
45658;226;Quererá;1,22043
45658;2785;Rabo Branco;1,43084
45658;232;Redonda;3,8531
45658;242;Remanso;1,31043
45658;234;Riacho da Forquilha;1,74281
45658;245;Riacho Ouricuri;2,6689
45658;255;Riacho São Pedro;0,90663
45658;243;Riachuelo;1,56912
45658;229;Rio do Bu;2,63242
45658;4125;Rio do Carmo;3,8531
45658;246;Rio dos Ovos;1,9435
45658;2425;Rio Ipiranga;1,49021
45658;235;Rio Itariri;2,66817
45658;236;Rio Itaúnas;1,03082
45658;4710;Rio Mariricu;1,23066
45658;241;Rio Mossoró;3,22042
45658;256;Rio Subaúma;1,97638
45658;257;Rio Urucu;1,18418
45658;1303;Rolinha;2,4901
45658;244;Roncador;1,4328
45658;263;Sabiá;0,97168
45658;3705;Sabiá Bico-de-Osso;0,93043
45658;3465;Sabiá da Mata;1,14031
45658;4862;Sabiá-Laranjeira;3,8531
45658;267;Salina Cristal;0,87674
45658;2085;Sanhaçu;1,3723
45658;261;Santana;1,70121
45658;269;São Domingos;2,4634
45658;4695;São João;3,8531
45658;2885;São Mateus Leste;1,24294
45658;284;São Pedro;1,54491
45658;2365;Sapinhoá;1,70109
45658;270;Sauípe;3,8531
45658;4614;Sépia;1,76444
45658;4676;Sépia Leste;1,76444
45658;4846;Sépia_ECO;1,76444
45658;279;Serra do Mel;1,97686
45658;287;Serra Vermelha;3,8531
45658;271;Serraria;2,08174
45658;276;Sesmaria;1,36612
45658;3565;Sibite;1,74281
45658;288;Siririzinho;1,54937
45658;265;Socorro;1,42384
45658;268;Socorro Extensão;1,4094
45658;4739;Sudoeste de Sapinhoá;1,70109
45658;285;Sudoeste Urucu;1,18418
45658;4758;Suindara;3,8531
45658;4656;Sul de Berbigão;1,65577
45658;266;Sul de Coruripe;2,25397
45658;4660;Sul de Sururu;1,38553
45658;4611;Sul de Tupi;1,52188
45658;4649;Sururu;1,65577
45658;286;Sussuarana;1,18993
45658;1023;Tabuiaiá;0,83296
45658;292;Tabuleiro dos Martins;2,14718
45658;4888;Tambaqui;1,46813
45658;691;Tambaú;1,04477
45658;682;Tambuatá;1,53427
45658;803;Tangará;1,19847
45658;4245;Tapiranga Norte;1,22489
45658;293;Taquipe;1,53691
45658;289;Tartaruga;2,36768
45658;3645;Tartaruga Verde;1,82208
45658;4747;Tartaruga Verde Sudoeste;1,82206
45658;3866;Tiê;1,96647
45658;1383;Tigre;2,01583
45658;4750;Tiriba;3,8531
45658;291;Três Marias;1,05571
45658;294;Trilha;1,51213
45658;1865;Trinca Ferro;1,15914
45658;3945;Trovoada;2,70865
45658;4534;Tubarão Martelo;2,46319
45658;3325;Tucano;3,8531
45658;4746;Tucano Grande;1,12651
45658;1063;Tupi;1,58982
45658;295;Ubarana;1,10074
45658;443;Uirapuru;1,37912
45658;10000;UO SIX - São Mateus do Sul;1,69196
45658;296;Upanema;1,15914
45658;843;Uruguá;1,04477
45658;4709;Urutau;3,8531
45658;4714;Vale do Quiricó;1,6598
45658;302;Varginha;1,73081
45658;299;Vermelho;1,68576
45658;297;Voador;1,82822
45689;823;Abalone;1,18122
45689;783;Acajá-Burizinho;1,30449
45689;563;Acauã;1,08826
45689;5;Água Grande;1,03586
45689;4821;Águia Real;3,39932
45689;7;Aguilhada;1,36379
45689;3;Albacora;1,03191
45689;4;Albacora Leste;1,02421
45689;15;Alto do Rodrigues;0,68605
45689;523;Anambé;1,23074
45689;4824;ANC_Mero;1,15499
45689;4755;AnC_NORTE_ATAPU;1,06072
45689;4749;Anc_Tupi;1,39194
45689;1726;Andorinha;3,39932
45689;9;Angelim;2,18549
45689;10;Angico;3,39932
45689;12;Apraiús;1,5637
