competencia;caixa;estados;municipios;fundo especial;comando da marinha;mct;fundo social;educacao e saude
45231;45292;1298126121;1657303729;406977694,7;134348496,8;92622225,1;432307647,5;829483265,1
45261;45323;1229186220;1568630094;385120609,7;133885336,5;92163993,16;398715291;785021553,6
45292;45352;1256806920;1597178402;391323322,1;132124683;91154783,12;385991431,9;827543005,8
45323;45383;1230009398;1572566382;386585104,2;137370983,7;94879310,66;382579547,1;801409830,4
45352;45413;1257411499;1607289373;395120269;116610378,8;80267346,44;414642231,3;837591104,7
45383;45444;1261587870;1608624162;394687487,8;117341184,1;81196233,58;418470582,1;828273237,2
45413;45474;1260317723;1608071288;395016891,6;116598932,2;81363511,34;402609491,8;851945442,8
45444;45505;1345122352;1718607650;422355240,9;127258556,8;88671171,72;422760197,9;913669345,8
45474;45536;1414648730;1802485473;442583729,1;124506766,7;87275491,84;433324797,9;988405188,9
45505;45566;1382447695;1762526596;433033037,7;111587551,3;76909161,75;455276371,8;950761590
45536;45597;1302869184;1657663596;406907628,2;94188676,26;64822992,16;418615187,1;926823210,4
45566;45627;1335607912;1694668677;415470944,7;115557762,4;79724719,07;415232754,4;923901339,8
;;;;;;;;
;;;;;;;;
;;;;;;;;
