competencia;caixa;acre;alagoas;amazonas;amapa;bahia;ceara;espirito santo;goias;maranhao;minas gerais;mato grosso do sul;mato grosso;para;paraiba;pernambuco;piaui;parana;rio de janeiro;rio grande do norte;rondonia;roraima;rio grande do sul;santa catarina;sergipe;sao paulo;tocantins
45231;45292;0;2381029,9;20841947,01;0;16828646,53;365881,26;49134670,74;0;4580527,06;0;0;0;0;0;0;0;5204653,82;1105562609;19921397,98;0;0;0;0;5037587,7;68267170,43;0
45261;45323;0;2161621,1;20743358,89;0;16336220,8;362311,89;56998862,96;0;3330909,05;0;0;0;0;0;0;0;5420830,99;1029977848;17256300,7;0;0;0;0;5098013,94;71499942,35;0
45292;45352;0;3269754,75;21706527,33;0;16538452,42;368174,06;57799299,19;0;6637686,33;0;0;0;0;0;0;0;5380489,33;1057603922;20388014,7;0;0;0;0;5630996,48;61483603,26;0
45323;45383;0;3000262,35;17566319,84;0;15233858,18;355800,22;87155508,96;0;1055665,71;0;0;0;0;0;0;0;5504243,94;1017333742;19186783,34;0;0;0;0;5530289,21;58086923,78;0
45352;45413;0;3321688,82;18297856,54;0;15620341,15;371420,47;58134519,78;0;58947,47;0;0;0;0;0;0;0;5480401,03;1059669422;19458161,25;0;0;0;0;6177590,26;70821150,23;0
45383;45444;0;2581476,19;19479310,39;0;16150071,66;410693,18;59701064,58;0;157653,97;0;0;0;0;0;0;0;5685063,14;1050809411;22255083,25;0;0;0;0;6573460,84;77784581,6;0
45413;45474;0;2992888,73;20306286,81;0;14940689,13;400600,14;54643445,05;0;249784,47;0;0;0;0;0;0;0;5737619,68;1058996822;20616713,91;0;0;0;0;5922819,65;75510053,52;0
45444;45505;0;1935521,56;19797689,81;0;16598667,14;393099,58;54509034,07;0;1570879,59;0;0;0;0;0;0;0;5821231,93;1140897965;21325949,98;0;0;0;0;6263493,97;76008819,4;0
45474;45536;0;444975,74;21575231,21;0;17671766,75;437182,13;58969575,14;0;5292594,91;0;0;0;0;0;0;0;5940991,52;1197669490;22999566,59;0;0;0;0;8512362,69;75134992,99;0
45505;45566;0;2151758,14;20719233,7;0;16473739,83;399882,55;55843927,03;0;6114850,07;0;0;0;0;0;0;0;5780826,34;1171229640;20859683,31;0;0;0;0;7494048,75;75380105,55;0
45536;45597;0;2552768,44;19615075,82;0;15514695,25;390864,12;54018698,56;0;7808113,2;0;0;0;0;0;0;0;5724953,42;1102091113;19533951,98;0;0;0;0;7107771,64;68511179,54;0
45566;45627;0;3084970,27;20936587,01;0;17394206,71;485470,32;56990186,73;0;8348015,93;0;0;0;0;0;0;0;5912845,55;1120904565;22476805,62;0;0;0;0;6663428,99;72410829,86;0
