data;código do campo;campo;corrente;preço;;
45658;823;Abalone;Ostra;2625,1928;;-1: preços estabelecidos nos termos dos arts. 5° e 8° da Resolução ANP n° 874/2022.
45658;783;Acajá-Burizinho;Ouro Preto;2858,7275;;-2: preço estabelecido nos termos do art. 12 da Resolução ANP n° 874/2022.
45658;563;Acauã;Upanema;2924,5898;;
45658;5;Água Grande;Rio Ventura;2846,0291;;
45658;4821;Águia Real;-1;3144,7028;;
45658;7;Aguilhada;Sergipano Terra;2746,6694;;
45658;6;Agulha;-1;3212,8754;;
45658;3;Albacora;Albacora;2669,0139;;
45658;4;Albacora Leste;Albacora Leste;2609,5215;;
45658;15;Alto do Rodrigues;Polo Potiguar;2644,1664;;
45658;523;Anambé;Alagoano;2967,6838;;
45658;4824;ANC_Mero;Mero;2854,8343;;
45658;4755;AnC_Norte_Atapu;Atapu;2803,863;;
45658;4749;ANC_Tupi;Sul de Tupi;2868,2408;;
45658;1726;Andorinha;-1;2867,2675;;
45658;11;Anequim;Cabiúnas Mistura;2812,759;;
45658;9;Angelim;Sergipano Terra;2746,6694;;
45658;10;Angico;Polo Potiguar;2644,1664;;
45658;12;Apraiús;Miranga ECOL-B;2920,2497;;
45658;14;Arabaiana;Pescada;3212,8754;;
45658;1505;Araçari;Araçari;2915,5953;;
45658;13;Araçás;Baiano Mistura;2874,3646;;
45658;4708;Araçás Leste;-1;2960,5564;;
45658;4546;Arapaçu;-1;3428,1673;;
45658;4025;Arara Azul;Urucu;3076,038;;
45658;662;Araracanga;Urucu;3076,038;;
45658;1;Aratu;Polo Recôncavo;2784,06;;
45658;686;Argonauta;Ostra;2625,1928;;
45658;724;Arribaçã;-1;2909,9449;;
45658;16;Aruari;Sergipano Terra;2746,6694;;
45658;19;Asa Branca;Upanema;2924,5898;;
45658;21;Atalaia Sul;Sergipano Terra;2746,6694;;
45658;4652;Atapu;Atapu;2803,863;;
45658;4845;Atapu_ECO;Atapu;2803,863;;
45658;678;Atlanta;Atlanta;2184,8758;;
45658;20;Atum;-1;3428,1673;;
45658;258;Azulão;Azulão;3251,6671;;
45658;4886;Azulão Oeste;-1;3251,6671;;
45658;28;Badejo;-1;2857,7542;;
45658;32;Bagre;Cabiúnas Mistura;2812,759;;
45658;24;Baixa do Algodão;Upanema;2924,5898;;
45658;464;Baleia Anã;Parque das Baleias;2764,4993;;
45658;4690;Barra Bonita;-1;3062,7413;;
45658;34;Barra do Ipiranga;-1;3144,7028;;
45658;42;Barracuda;Barracuda-Caratinga;2857,7542;;
45658;25;Barrinha;Polo Potiguar;2644,1664;;
45658;1625;Barrinha Leste;Polo Potiguar;2644,1664;;
