competencia;caixa;municipio;estado;royalties minimos;royalties excedentes
45231;45292;anadia;al;497,45;0
45231;45292;atalaia;al;0;0
45231;45292;barra de santo antonio;al;675503,67;0
45231;45292;barra de sao miguel;al;702211,89;0
45231;45292;boca da mata;al;703103,92;0
45231;45292;branquinha;al;181,31;0
45231;45292;cajueiro;al;538,91;0
45231;45292;campestre;al;414,54;0
45231;45292;campo alegre;al;663,27;0
45231;45292;capela;al;497,45;0
45231;45292;cha preta;al;414,54;0
45231;45292;colonia leopoldina;al;538,91;0
45231;45292;coqueiro seco;al;686150,54;165,18
45231;45292;coruripe;al;708463,29;38339,42
45231;45292;feliz deserto;al;589280,61;12183,8
45231;45292;flexeiras;al;696444,53;0
45231;45292;ibateguara;al;476,72;0
45231;45292;igreja nova;al;538,91;0
45231;45292;jacuipe;al;689,99;0
45231;45292;japaratinga;al;414,54;0
45231;45292;jequia da praia;al;676223,76;2220,76
45231;45292;joaquim gomes;al;538,91;0
45231;45292;jundia;al;479,96;0
45231;45292;junqueiro;al;538,91;0
45231;45292;maceio;al;688181,86;14663,79
45231;45292;maragogi;al;580,36;0
45231;45292;marechal deodoro;al;10171001,75;30234,52
45231;45292;matriz de camaragibe;al;697922,99;0
45231;45292;messias;al;702071,93;0
45231;45292;murici;al;559,63;0
45231;45292;novo lino;al;456;0
45231;45292;paripueira;al;658196,5;1167,89
45231;45292;passo de camaragibe;al;476,72;0
45231;45292;penedo;al;2937963,35;0,02
45231;45292;piacabucu;al;697663,81;0
45231;45292;pilar;al;4346575,88;51795,5
45231;45292;pindoba;al;414,54;0
45231;45292;porto calvo;al;559,63;0
45231;45292;porto de pedras;al;414,54;0
45231;45292;porto real do colegio;al;518,18;0
45231;45292;rio largo;al;620591,61;1263,3
45231;45292;roteiro;al;188120,3;0
45231;45292;santa luzia do norte;al;679400,81;0,85
45231;45292;santana do mundau;al;435,27;0
45231;45292;sao jose da laje;al;538,91;0
45231;45292;sao luis do quitunde;al;1655,7;392,41
45231;45292;sao miguel dos campos;al;793883,1;167313,94
45231;45292;sao miguel dos milagres;al;414,54;0
45231;45292;sao sebastiao;al;700922,52;0
45231;45292;satuba;al;711093,98;6440,15
